species,size_cm
A.marmorata,5
A.marmorata,10
A.marmorata,20
A.marmorata,30
C.occidentalis,0-3
C.occidentalis,3-5
C.occidentalis,5-10
C.occidentalis,10-15
C.occidentalis,20
C.occidentalis,25
C.occidentalis,30
C.occidentalis,40
E.tridentatus,50-70
E.tridentatus,50-70(dead)
G.aculeatus,0-2
G.aculeatus,2-5
G.aculeatus,5-10
H.symmetricus,0-2
H.symmetricus,2-5
H.symmetricus,5-10
H.symmetricus,10-15
L.cyanellus,5
L.cyanellus,10
L.cyanellus,15
L.cyanellus,20
L.cyanellus,30
L.macrochirus,5
L.macrochirus,10
L.macrochirus,15
L.macrochirus,20
L.macrochirus,30
M.salmoides,5
M.salmoides,10
M.salmoides,15
M.salmoides,20
M.salmoides,30
M.salmoides,2
M.saxitalis,20
M.saxitalis,40
M.saxitalis,60
O.kisutch,0-4
O.kisutch,4-8
O.kisutch,8-12
O.kisutch,12-20
O.mykiss,0-4
O.mykiss,4-8
O.mykiss,8-12
O.mykiss,12-20
O.mykiss,20-25
O.mykiss,25-30
O.mykiss,30-40
O.mykiss,40-60
P.grandis,0-5
P.grandis,5-10
P.grandis,10-15
P.grandis,15-20
P.grandis,20-25
P.grandis,25-30
P.grandis,30-40
P.grandis,40-60
P.grandis,60-80
P.grandis,80-100
R.boylii,l
R.boylii,a
R.catesbeiana,2
R.catesbeiana,5
R.catesbeiana,10
R.catesbeiana,15
R.catesbeiana,20
T.atratus,40
T.atratus,60
T.granulosa,5
